"Discid","Artist","Album","Pret","An","Casa de discuri","COD","Stare disc","Stare coperta",Gen,Poza,Stoc
"096","Christopher Cross","Christopher Cross","35","1979","Warner Bros.","WB 56 789","VG+","VG+",,,
"097","Chubby Checker","In Germany (Live)","20",,"Ariola","70 450 IT","VG+","VG",,,
"099","Chuck Berry","Reelin' and Rokin'","30","1984","Topline","Top 117","VG+","VG+",,,
"100","Chuck Berry","The Story of Rock and Roll","30",,"Ariola","28 911 XAT","VG+","VG+",,,
"101","Cindytalk","In this World","30","1988","Midnight","CHIME00.28 S","VG+","VG+",,,
"102","Clancy Brothers","Golden Hours with Lou Killen","20","1973","Vanguard","GH880","VG+","VG",,,
"103","Cliff Richard","Always Guaranteed","35","1987","EMI","EMD1004","VG+","VG+",,,
"104","Cliff Richard","Cliff Richard","25","1979","Amiga","8 55 682","VG+","VG+",,,
"105","Cliff Richard","I'm No Hero","35","1980","EMI Electrola","1C 064-07342","NM","NM",,,
"106","Cliff Richard","Live!","25","1972","MFP","MFP 50307","NM","NM",,,
"107","Cliff Richard","Move It (Seine besten Songs)","20","1980","EMI","F 666.947","NM","NM",,,
"108","Cliff Richard","Now You See Me","35","1982","EMI","1A064-07652","VG+","VG+",,,
"118","Clout","Substitute","25","1978","Carrere","67.289","VG+","VG",,,
"109","Coati Mundi","Little The Former 12 year old Genius","25","1983","Virgin","201 396-320","NM","VG+",,,
"110","Cock Robin","Cock Robin","35","1985","CBS","26448","NM","NM",,,
"111","Co-Co","Bad Old days","25","1978","Hansa","26 128OT","VG+","VG+",,,
"748","Collage","Shine The Light","30","1985","Solar","TSR330801","NM","NM",,,
"112","Commodores","Midnight Magic","35","1979","Motown","1C 064-63 064","VG+","VG+",,,
"113","Commodores","Natural High","35","1978","Motown","1C 064-60 942","VG+","VG+",,,
"115","Communards","Communards","30","1985","London","828 016-1","VG+","VG+",,,
"117","Connie Francis","20 Greatest Hits","20","1987","Yesterdays","15709","VG+","VG",,,
"119","Craaft","Craaft","30","1986","Epic","26880","NM","NM",,,
"864","Crosby Nash","Whistling Down The Wire","40","1976","ABC Records","ABCD-956","NM","NM",,,
"120","Culture Club","Colour By Numbers","35","1983","Virgin","205 730","NM","NM",,,
"121","Daffy","Denkanstosse","15","1979",,"53 967","VG+","VG+",,,
"122","Dalida","Die neuen Lieder ","25","1974","Ariola","88 450IT","NM","NM",,,
"123","Dalida","Die Grosse Erfolge","25","1970","Barclay","021.907","VG+","VG+",,,
"124","Dan Fogelberg","Nether Lands","30","1977","Epic","EPC 32529","NM","NM",,,
